"id"	"tech_code"	"tech_name"	"tech_format"	"tech_price"	"tech_type"	"price_type"	"deptment_id"
"15"	"XJSSHXCD"	"X浆肾素活性测定"	""	"14"	"检验"	"检验费"	
"16"	"XGJZSⅡCD"	"X管紧张素Ⅱ测定"	""	"8.42"	"检验"	"检验费"	
"17"	"CHXBSCSCD"	"促红细胞生成素测定"	""	"8.87"	"检验"	"检验费"	
"18"	"ZTCD（HXFGF、YGMYF）"	"睾酮测定（化X发光法、荧光免疫法）"	""	"19.97"	"检验"	"检验费"	
"19"	"PTTCD（GHXF）(XQ)"	"葡萄糖测定（干化X法）(X清)"	""	"24.98"	"检验"	"检验费"	
"20"	"THXHDBCD（SPF）"	"糖化X红蛋白测定（色谱法）"	""	"46.81"	"检验"	"检验费"	
"21"	"XJRSCD"	"X浆乳酸测定"	""	"0.21"	"检验"	"检验费"	
"22"	"NN-X-β-D-AJPTTZMCD"	"尿N-X-β-D-氨基葡萄糖苷酶测定"	""	"22.61"	"检验"	"检验费"	
"23"	"Nβ-D-BRTZMCD"	"尿β-D-半乳糖苷酶测定"	""	"7.6"	"检验"	"检验费"	
"24"	"TSZHZSC"	"唐氏综合症筛查"	""	"84.36"	"检验"	"检验费"	
"25"	"CSCCD（HXFGF、YGMYF）"	"雌三醇测定（化X发光法、荧光免疫法）"	""	"5.99"	"检验"	"检验费"	
"26"	"CECCD（HXFGF、YGMYF）"	"雌二醇测定（化X发光法、荧光免疫法）"	""	"34.48"	"检验"	"检验费"	
"27"	"YTCD（HXFGF、YGMYF）"	"孕酮测定（化X发光法、荧光免疫法）"	""	"8.34"	"检验"	"检验费"	
"28"	"XQZZDBBCD（MYBZF）"	"X清载脂蛋白B测定（免疫比浊法）"	""	"24.58"	"检验"	"检验费"	
"29"	"XQJGDBⅠCD（HXFGF）"	"X清肌钙蛋白Ⅰ测定（化X发光法）"	""	"1.18"	"检验"	"检验费"	
"30"	"NXMSJCD(TT)（YQF）"	"凝X酶时间测定(TT)（仪器法）"	""	"16.21"	"检验"	"检验费"	
"31"	"FBYXSY(OB)(DKLJBF)"	"粪便隐X试验(OB)(单克隆金标法)"	""	"35.43"	"检验"	"检验费"	
"32"	"FSDIIIRSJC"	"粪苏丹III染色检查"	""	"59.54"	"检验"	"检验费"	
"33"	"ZXGXBJS(YGXWJF)"	"造X干细胞计数(荧光显微镜法)"	""	"18.91"	"检验"	"检验费"	
"34"	"ZXGXBJS(LSXBYF)"	"造X干细胞计数(流式细胞仪法)"	""	"0.71"	"检验"	"检验费"	
"35"	"GLBYTDNACD（SYQZDYGDLJC）"	"各类病原体DNA测定（使用全自动荧光定量检测）"	""	"51.79"	"检验"	"检验费"	
"36"	"XXBJJGNCD(PAgT)"	"X小板聚集功能测定(PAgT)"	""	"13.73"	"检验"	"检验费"	
"37"	"XJD-EJTCD(D-Dimer)"	"X浆D-二聚体测定(D-Dimer)"	""	"10.04"	"检验"	"检验费"	
"38"	"KXLZKTCD(ACA)"	"抗心磷脂抗体测定(ACA)"	""	"2.84"	"检验"	"检验费"	
"39"	"KSLDNACD(KdsDNA)"	"抗双链DNA测定(抗dsDNA)"	""	"4.4"	"检验"	"检验费"	
"40"	"ZIgECD"	"总IgE测定"	""	"5.17"	"检验"	"检验费"	
"41"	"TDBCD"	"铁蛋白测定"	""	"70.36"	"检验"	"检验费"	
"42"	"FYZYTXQXSY（MYYJF）"	"肺炎支原体X清X试验（免疫印迹法）"	""	"0.97"	"检验"	"检验费"	
"43"	"SYYYTFYXQXSY"	"沙眼衣原体肺炎X清X试验"	""	"44.69"	"检验"	"检验费"	
"44"	"MDLXTTYKTCD（NJF）"	"梅毒螺旋体特异抗体测定（凝集法）"	""	"25.64"	"检验"	"检验费"	
"45"	"MDLXTTYKTCD（MYYJF）"	"梅毒螺旋体特异抗体测定（免疫印迹法）"	""	"37.77"	"检验"	"检验费"	
"46"	"KSXJFYSSY(RPR)（DL）"	"快速X浆反应素试验(RPR)（定量）"	""	"15.89"	"检验"	"检验费"	
"47"	"XXYQJJMKYCD"	"新型隐球菌荚膜抗原测定"	""	"46.6"	"检验"	"检验费"	
"48"	"PXB"	"谱细胞"	""	"0.52"	"检验"	"检验费"	
"49"	"SXXB"	"筛X细胞"	""	"11.53"	"检验"	"检验费"	
"50"	"KLQJRXSOCD(ASO)（MYF）"	"抗链球菌溶X素O测定(ASO)（免疫法）"	""	"17.55"	"检验"	"检验费"	
"51"	"NJYBDBCD"	"脑脊液白蛋白测定"	""	"26.98"	"检验"	"检验费"	
"52"	"NJYIgGCD"	"脑脊液IgG测定"	""	"43.4"	"检验"	"检验费"	
"53"	"XQBBβ2WQDBCD（HXFGF）"	"X清标本β2微球蛋白测定（化X发光法）"	""	"54.33"	"检验"	"检验费"	
"54"	"NBBβ2WQDBCD（HXFGF）"	"尿标本β2微球蛋白测定（化X发光法）"	""	"0.17"	"检验"	"检验费"	
"55"	"ZTXCJ4℃BC"	"自体X采集4℃保存"	""	"39.72"	"检验"	"检验费"	
"56"	"JZPXJSCD（HXFGF、YGMYF）"	"甲状旁腺激素测定（化X发光法、荧光免疫法）"	""	"0.62"	"检验"	"检验费"	
"57"	"XQJZXS(T4)CD（HXFGF、YGMYF）"	"X清甲状腺素(T4)测定（化X发光法、荧光免疫法）"	""	"22.57"	"检验"	"检验费"	
"58"	"XQSDJZYAS(T3)CD（HXFGF、YGMYF"	"X清三碘甲状原氨酸(T3)测定（化X发光法、荧光免疫法"	""	"3.46"	"检验"	"检验费"	
"59"	"YDFMWJC"	"阴道分泌物检查"	""	"71.65"	"检验"	"检验费"	
"60"	"TYCGJC"	"痰液常规检查"	""	"3.8"	"检验"	"检验费"	
"61"	"GZCCYCGJC"	"各种穿刺液常规检查"	""	"42.97"	"检验"	"检验费"	
"62"	"GSTPXBXJY"	"骨髓涂片细胞X检验"	""	"31.92"	"检验"	"检验费"	
"63"	"GSYHXBJS"	"骨髓有核细胞计数"	""	"13.02"	"检验"	"检验费"	
"64"	"GSJHXBJS"	"骨髓巨核细胞计数"	""	"20.47"	"检验"	"检验费"	
"65"	"α2-JQDBCD(SSBZF)"	"α2-巨球蛋白测定(散射比浊法)"	""	"5.79"	"检验"	"检验费"	
"66"	"RLBXBKYB27CD(HLA-B27)(LSXBYF)"	"人类白细胞抗原B27测定(HLA-B27)(流式细胞仪法)"	""	"50.31"	"检验"	"检验费"	
"67"	"YMLGJPYJJD"	"幽门螺杆菌培养及鉴定"	""	"17.38"	"检验"	"检验费"	
"68"	"O—157DCAXJPYJJD"	"O—157大肠埃希菌培养及鉴定"	""	"0.07"	"检验"	"检验费"	
"69"	"ZJTPJC"	"真菌涂片检查"	""	"12.61"	"检验"	"检验费"	
"70"	"ZJPYJJD"	"真菌培养及鉴定"	""	"1.45"	"检验"	"检验费"	
"71"	"YYTJC（DJF）"	"衣原体检查（电镜法）"	""	"1.32"	"检验"	"检验费"	
"72"	"ZYTJC"	"支原体检查"	""	"60.58"	"检验"	"检验费"	
"73"	"KXYXBKTCD(HXB)"	"抗X液细胞抗体测定(红细胞)"	""	"13.26"	"检验"	"检验费"	
"74"	"BXBKYJC"	"白X病抗原检测"	""	"5.55"	"检验"	"检验费"	
"75"	"BXBCLBZJC"	"白X病残留病灶检测"	""	"5.14"	"检验"	"检验费"	
"76"	"TLKYCD(CA-50)（HXFGF、YGMYF）"	"糖类抗原测定(CA-50)（化X发光法、荧光免疫法）"	"江北"	"0.88"	"检验"	"检验费"	
"77"	"TLKYCD(CA-125)（HXFGF、YGMYF）"	"糖类抗原测定(CA-125)（化X发光法、荧光免疫法）"	""	"37.34"	"检验"	"检验费"	
"78"	"TLKYCD(CA15-3)（HXFGF、YGMYF）"	"糖类抗原测定(CA15-3)（化X发光法、荧光免疫法）"	""	"37.38"	"检验"	"检验费"	
"79"	"TLKYCD(CA19-9)（HXFGF、YGMYF）"	"糖类抗原测定(CA19-9)（化X发光法、荧光免疫法）"	""	"2.79"	"检验"	"检验费"	
"80"	"TLKYCD（HXFGF、YGMYF）(CA24－2)"	"糖类抗原测定（化X发光法、荧光免疫法）(CA24－2)"	"江北"	"6.13"	"检验"	"检验费"	
"81"	"XQGMDZDBDGCCD（QTFF）"	"X清高密度脂蛋白胆固醇测定（其他方法）"	""	"40.27"	"检验"	"检验费"	
"82"	"LZXBAXGKYCD(SCC)（HXFGF、YGMY"	"鳞状细胞癌相关抗原测定(SCC)（化X发光法、荧光免疫"	""	"45.35"	"检验"	"检验费"	
"83"	"ZLXGKYCD"	"肿瘤相关抗原测定"	""	"7.26"	"检验"	"检验费"	
"84"	"SSXBYLZDB（ECP）CD"	"嗜酸细胞阳离子蛋白（ECP）测定"	""	"64.78"	"检验"	"检验费"	
"85"	"TSBYY（DJBYY）SC"	"特殊变应原（多价变应原）筛查"	""	"10.86"	"检验"	"检验费"	
"86"	"SRWBYYSC(GZFGF，DLCD)"	"食入物变应原筛查(各种发光法，定量测定)"	""	"11.2"	"检验"	"检验费"	
"87"	"XRWBYYSC(GZFGF，DLCD)"	"吸入物变应原筛查(各种发光法，定量测定)"	""	"4.59"	"检验"	"检验费"	
"88"	"JZXQDBCD"	"甲状腺球蛋白测定"	""	"57.47"	"检验"	"检验费"	
"89"	"XFSCGJC"	"胸腹水常规检查"	""	"41.74"	"检验"	"检验费"	
"90"	"KHTTKTCD（MYYJF）"	"抗核糖体抗体测定（免疫印迹法）"	""	"7.2"	"检验"	"检验费"	
"91"	"KHTHDBKTCD（MYYJF）"	"抗核糖核蛋白抗体测定（免疫印迹法）"	""	"16.78"	"检验"	"检验费"	
"92"	"KRSTKTCD（MYXF）"	"抗染色体抗体测定（免疫X法）"	""	"5.34"	"检验"	"检验费"	
"93"	"NJYCGJC(CSF)"	"脑脊液常规检查(CSF)"	""	"81.52"	"检验"	"检验费"	
"94"	"JYCGJC"	"精液常规检查"	""	"4.36"	"检验"	"检验费"	
"95"	"JYSXLSMCD"	"精液酸性磷酸酶测定"	""	"18.91"	"检验"	"检验费"	
"96"	"JYGTCD"	"精液果糖测定"	""	"24.77"	"检验"	"检验费"	
"97"	"JYαPTTZMCD"	"精液α葡萄糖苷酶测定"	""	"27.23"	"检验"	"检验费"	
"98"	"JZYDGJFX"	"精子运动轨迹分析"	""	"20.75"	"检验"	"检验费"	
"99"	"JZDTWZLJC"	"精子顶体完整率检查"	""	"13.37"	"检验"	"检验费"	
"100"	"JZSJNLCD"	"精子受精能力测定"	""	"9.43"	"检验"	"检验费"	
"101"	"JZJHKTCD"	"精子结合抗体测定"	""	"13.13"	"检验"	"检验费"	
"102"	"JZJXLCD"	"精子畸形率测定"	""	"23.55"	"检验"	"检验费"	
"103"	"QLXYCGJC"	"前列腺液常规检查"	""	"5.55"	"检验"	"检验费"	
"104"	"YLQLXTYXKYCD(FPSA)（HXFGF、YGM"	"游离前列腺特异性抗原测定(FPSA)（化X发光法、荧光免"	""	"29.37"	"检验"	"检验费"	
"105"	"QLXSXLSMCD(PAP)（HXFGF、YGMYF"	"前列腺酸性磷酸酶测定(PAP)（化X发光法、荧光免疫法"	"江北"	"19.37"	"检验"	"检验费"	
"106"	"SJYTYXXCHMCD(NSE)（HXFGF、YGM"	"神经元特异性烯醇化酶测定(NSE)（化X发光法、荧光免"	""	"0.29"	"检验"	"检验费"	
"107"	"XBJDB19PDCD(CYFRA21-2)（HXFGF、YG"	"细胞角蛋白19片段测定(CYFRA21-2)（化X发光法、荧光"	""	"19.48"	"检验"	"检验费"	
"108"	"XQⅣXJYCD"	"X清Ⅳ型胶原测定"	""	"90.76"	"检验"	"检验费"	
"109"	"XQⅢXJYCD"	"X清Ⅲ型胶原测定"	""	"26.89"	"检验"	"检验费"	
"110"	"XQCZLDBCD"	"X清层粘连蛋白测定"	""	"5.78"	"检验"	"检验费"	
"111"	"XQTMZSMCD"	"X清透明质酸酶测定"	""	"28.2"	"检验"	"检验费"	
"112"	"XZTAMCD"	"腺苷脱氨酶测定"	""	"36.84"	"检验"	"检验费"	
"113"	"XQJSJMCD（GHXF）"	"X清肌酸激酶测定（干化X法）"	""	"9.65"	"检验"	"检验费"	
"114"	"XQJSJMCD（SLF）"	"X清肌酸激酶测定（速率法）"	""	"28.52"	"检验"	"检验费"	
"115"	"XQQBDBCD（MYBZF、HXFGF）"	"X清前白蛋白测定（免疫比浊法、化X发光法）"	""	"6.48"	"检验"	"检验费"	
"116"	"XQZDGCCD（GHXF）"	"X清总胆固醇测定（干化X法）"	""	"14.43"	"检验"	"检验费"	
"117"	"XQZDGCCD（HXF、MF）"	"X清总胆固醇测定（化X法、酶法）"	""	"8.66"	"检验"	"检验费"	
"118"	"HXBLBTXJC"	"红细胞流变特性检测"	""	"19.32"	"检验"	"检验费"	
"119"	"XJXWDBYCD(YQF)"	"X浆纤维蛋白原测定(仪器法)"	""	"37.44"	"检验"	"检验费"	
"120"	"XQYGXTCD（HXFGF、YGMYF）"	"X清胰高X糖测定（化X发光法、荧光免疫法）"	""	"4.59"	"检验"	"检验费"	
"121"	"XQCZCD（HXFGF、YGMYF）"	"X清C肽测定（化X发光法、荧光免疫法）"	""	"73.57"	"检验"	"检验费"	
"122"	"CZXFSY（HXFGF、YGMYF）"	"C肽兴奋试验（化X发光法、荧光免疫法）"	""	"0.52"	"检验"	"检验费"	
"123"	"XBJY（SRY）JC"	"性别基因（SRY）检测"	""	"33.25"	"检验"	"检验费"	
"124"	"TYHTHS（DNA）BTFX"	"脱氧核糖核酸（DNA）倍体分析"	""	"54.68"	"检验"	"检验费"	
"125"	"RSTFX"	"染色体分析"	""	"72.84"	"检验"	"检验费"	
"126"	"PYXBDRSTFX"	"培养细胞的染色体分析"	""	"28.71"	"检验"	"检验费"	
"127"	"RhD(o)XXJD"	"RhD(o)X型鉴定"	""	"10.96"	"检验"	"检验费"	
"128"	"QXZDCD"	"全X粘度测定"	""	"2.8"	"检验"	"检验费"	
"129"	"QXZDCDGQ"	"全X粘度测定高切"	""	"7.12"	"检验"	"检验费"	
"130"	"QXZDCDZQ"	"全X粘度测定中切"	""	"45.43"	"检验"	"检验费"	
"131"	"XQTSQY(HCO3)CD"	"X清碳酸氢盐(HCO3)测定"	""	"4.51"	"检验"	"检验费"	
"132"	"WLYSCD(T)"	"微量元素测定(铜)"	""	"1.45"	"检验"	"检验费"	
"133"	"WLYSCD(X)"	"微量元素测定(硒)"	""	"54.75"	"检验"	"检验费"	
"134"	"WLYSCD(X)"	"微量元素测定(锌)"	""	"1.49"	"检验"	"检验费"	
"135"	"WLYSCD(M)"	"微量元素测定(锰)"	""	"47.29"	"检验"	"检验费"	
"136"	"XQZDHSCD（HXFHMCF）"	"X清总胆红素测定（化X法或酶促法）"	""	"1.83"	"检验"	"检验费"	
"137"	"XQZDHSCD（GHXF）"	"X清总胆红素测定（干化X法）"	""	"17.91"	"检验"	"检验费"	
"138"	"XQZJDHSCD（HXFHMCF）"	"X清直接胆红素测定（化X法或酶促法）"	""	"0.74"	"检验"	"检验费"	
"139"	"XQZJDHSCD（GHXF）"	"X清直接胆红素测定（干化X法）"	"江北"	"0.58"	"检验"	"检验费"	
"140"	"YXGYBMKYCD(HBsAg)(HXFGFD)"	"乙型肝炎表面抗原测定(HBsAg)(化X发光法等)"	""	"13.43"	"检验"	"检验费"	
"141"	"YXGYBMKTCD(Anti-HBs)(HXFGFD)"	"乙型肝炎表面抗体测定(Anti-HBs)(化X发光法等)"	""	"13.83"	"检验"	"检验费"	
"142"	"YXGYeKYCD(HBeAg)(HXFGFD)"	"乙型肝炎e抗原测定(HBeAg)(化X发光法等)"	""	"75.67"	"检验"	"检验费"	
"143"	"YXGYeKTCD(Anti-HBe)(HXFGFD)"	"乙型肝炎e抗体测定(Anti-HBe)(化X发光法等)"	""	"50.48"	"检验"	"检验费"	
"144"	"XQZZDBαCD（MYBZF）"	"X清载脂蛋白α测定（免疫比浊法）"	""	"33.18"	"检验"	"检验费"	
"145"	"JCD（HYFGGDFD）"	"钾测定（火焰分光光度法等）"	""	"49.75"	"检验"	"检验费"	
"146"	"SHCJHDBCD"	"视黄醇结合蛋白测定"	""	"12.39"	"检验"	"检验费"	
"147"	"NRMDXJC"	"尿乳糜定性检查"	""	"2.62"	"检验"	"检验费"	
"148"	"NRSSY(DKLJBF)"	"尿妊娠试验(单克隆金标法)"	""	"27.43"	"检验"	"检验费"	
"149"	"LPCJS（LH）PLYC"	"卵泡刺激素（LH）排卵预测"	""	"2.32"	"检验"	"检验费"	
"150"	"NCZDL(YQF)"	"尿沉渣定量(仪器法)"	""	"1.92"	"检验"	"检验费"	
"151"	"XQYLJZXS(FT4)CD（HXFGF、YGMYF"	"X清游离甲状腺素(FT4)测定（化X发光法、荧光免疫法"	""	"22.74"	"检验"	"检验费"	
"152"	"XQYLSDJZYAS(FT3)CD（HXFGF、YG"	"X清游离三碘甲状原氨酸(FT3)测定（化X发光法、荧光"	""	"43.22"	"检验"	"检验费"	
"153"	"FJSCJJ"	"粪寄生虫镜检"	""	"9.13"	"检验"	"检验费"	
"154"	"XYNYCJC"	"X液虐原虫检查"	""	"60.44"	"检验"	"检验费"	
"155"	"XYWSZJC"	"X液微丝蚴检查"	""	"60.98"	"检验"	"检验费"	
"156"	"HHBFNXHMSJCD(APTT)(YQF)"	"活化部分凝X活酶时间测定(APTT)(仪器法)"	""	"2.67"	"检验"	"检验费"	
"157"	"HHNXSJCD（ACT）"	"活化凝X时间测定（ACT）"	""	"5.77"	"检验"	"检验费"	
"158"	"BZABOXB"	"标准ABO细胞"	""	"45.13"	"检验"	"检验费"	
"159"	"RZZXRXKYIL(HLA－I)FX（XQXPX）"	"人组织相容性抗原I类(HLA－I)分型（X清X配型）"	""	"16.16"	"检验"	"检验费"	
"160"	"RZZXRXKYIIL(HLA－II)FX（JYPX）"	"人组织相容性抗原II类(HLA－II)分型（基因配型）"	""	"16.91"	"检验"	"检验费"	
"161"	"RZZXRXKYIIL(HLA－II)FX（XQXPX）"	"人组织相容性抗原II类(HLA－II)分型（X清X配型）"	""	"19.5"	"检验"	"检验费"	
"162"	"KZZXBKTCD"	"抗组织细胞抗体测定"	""	"12.5"	"检验"	"检验费"	
"163"	"KZZXBKTCD(WBXB)"	"抗组织细胞抗体测定(胃壁细胞)"	""	"35.52"	"检验"	"检验费"	
"164"	"KZZXBKTCD(YDXB)"	"抗组织细胞抗体测定(胰岛细胞)"	""	"39.35"	"检验"	"检验费"	
"165"	"KZZXBKTCD(PHJ)"	"抗组织细胞抗体测定(平滑肌)"	""	"65.18"	"检验"	"检验费"	
"166"	"XHDBDY(NJF)"	"X红蛋白电泳(凝胶法)"	""	"22.38"	"检验"	"检验费"	
"167"	"BXGYKTCD(Anti-HCV)"	"丙型肝炎抗体测定(Anti-HCV)"	""	"4.16"	"检验"	"检验费"	
"168"	"GRSCD"	"干扰素测定"	""	"80.3"	"检验"	"检验费"	
"169"	"GZBJS(IL6)CD(HXFGF)"	"各种白介素(IL6)测定(化X发光法)"	""	"10.4"	"检验"	"检验费"	
"170"	"NSCD（HXF、MCDLXF）"	"尿素测定（化X法、酶促动力X法）"	""	"39.27"	"检验"	"检验费"	
"171"	"NSCD（GHXF）"	"尿素测定（干化X法）"	""	"26.58"	"检验"	"检验费"	
"172"	"JGCD（MCDLXF）"	"肌G测定（酶促动力X法）"	""	"5.66"	"检验"	"检验费"	
"173"	"JGCD（XQBB MCDLXF）"	"肌G测定（X清标本 酶促动力X法）"	""	"18.07"	"检验"	"检验费"	
"174"	"JGCD（NBB MCDLXF）"	"肌G测定（尿标本 酶促动力X法）"	""	"39.35"	"检验"	"检验费"	
"175"	"JGCD（GHXF)(XQBB)"	"肌G测定（干化X法)(X清标本)"	""	"42.86"	"检验"	"检验费"	
"176"	"XQNSCD"	"X清尿酸测定"	""	"0.25"	"检验"	"检验费"	
"177"	"NWLBDBCD（HXFGF）"	"尿微量白蛋白测定（化X发光法）"	""	"19.08"	"检验"	"检验费"	
"178"	"NJYZDBCD(GHXF)"	"脑脊液总蛋白测定(干化X法)"	""	"0.32"	"检验"	"检验费"	
"179"	"XQZDBCD（GHXF）"	"X清总蛋白测定（干化X法）"	""	"2.45"	"检验"	"检验费"	
"180"	"XQCJZXJSCD（HXFGF、YGMYF）"	"X清促甲状腺激素测定（化X发光法、荧光免疫法）"	""	"14.8"	"检验"	"检验费"	
"181"	"XQZZDBAⅠCD（MYBZF）"	"X清载脂蛋白AⅠ测定（免疫比浊法）"	""	"56.27"	"检验"	"检验费"	
"182"	"JGSYJC"	"降钙素原检测"	""	"33.92"	"检验"	"检验费"	
"183"	"XQZDBCD（HXF）"	"X清总蛋白测定（化X法）"	""	"76.48"	"检验"	"检验费"	
"184"	"XQBDBCD（GHXF）"	"X清白蛋白测定（干化X法）"	""	"30.3"	"检验"	"检验费"	
"185"	"KXXBMTDBZSKTCD(LSXBYF)"	"抗X小板膜糖蛋白自身抗体测定(流式细胞仪法)"	""	"26.45"	"检验"	"检验费"	
"186"	"XJKNXMⅢHXCD(AT—ⅢA)（YQF）"	"X浆抗凝X酶Ⅲ活性测定(AT—ⅢA)（仪器法）"	""	"11.94"	"检验"	"检验费"	
"187"	"ZJKRQDBSY(Coombs)KSF(JKK)"	"直接抗人球蛋白试验(Coombs)卡式法(进口卡)"	""	"48.25"	"检验"	"检验费"	
"188"	"JJKRQDBSYKSF(JKK)"	"间接抗人球蛋白试验卡式法(进口卡)"	""	"29.01"	"检验"	"检验费"	
"189"	"KXXBMTDBZSKTCD(LSXBYF)Ⅱb/Ⅲa"	"抗X小板膜糖蛋白自身抗体测定(流式细胞仪法)Ⅱb/Ⅲa"	""	"65.47"	"检验"	"检验费"	
"190"	"KXXBMTDBZSKTCD(LSXBYF)Ⅰb/IX"	"抗X小板膜糖蛋白自身抗体测定(流式细胞仪法)Ⅰb/IX"	""	"88.5"	"检验"	"检验费"	
"191"	"XQGGSCD(HXFGF，DLCD)"	"X清骨钙素测定(化X发光法，定量测定)"	""	"2.87"	"检验"	"检验费"	
"192"	"KHTQWKTCD(KAnti-Sm)（MYXF）"	"抗核提取物抗体测定(抗Anti-Sm)（免疫X法）"	""	"11.45"	"检验"	"检验费"	
"193"	"XQZDZSCD（HXF、BSF、MCF）"	"X清总胆汁酸测定（化X法、比色法、酶促法）"	""	"16.98"	"检验"	"检验费"	
"194"	"XJACD（GHXF）"	"X浆氨测定（干化X法）"	""	"7.99"	"检验"	"检验费"	
"195"	"XQBASAJZYMCD（GHXF）"	"X清丙氨酸氨基转移酶测定（干化X法）"	""	"4.01"	"检验"	"检验费"	
"196"	"XQBASAJZYMCD（SLF）"	"X清丙氨酸氨基转移酶测定（速率法）"	""	"12.8"	"检验"	"检验费"	
"197"	"XQTMDASAJZYMCD（GHXF）"	"X清天门冬氨酸氨基转移酶测定（干化X法）"	""	"40.35"	"检验"	"检验费"	
"198"	"PTTCD（GZMF、MDJF）"	"葡萄糖测定（各种酶法、酶电极法）"	""	"37.76"	"检验"	"检验费"	
"199"	"PTTCD（GZMF、MDJF）(XQ)"	"葡萄糖测定（各种酶法、酶电极法）(X清)"	""	"64.32"	"检验"	"检验费"	
"200"	"PTTCD（GZMF、MDJF）(NJY)"	"葡萄糖测定（各种酶法、酶电极法）(脑脊液)"	""	"17.84"	"检验"	"检验费"	
"201"	"PTTCD（GZMF、MDJF）(NBB)"	"葡萄糖测定（各种酶法、酶电极法）(尿标本)"	""	"9.84"	"检验"	"检验费"	
"202"	"XQJGDBⅠCD（JBF）"	"X清肌钙蛋白Ⅰ测定（金标法）"	"江北"	"82.4"	"检验"	"检验费"	
"203"	"XQJHDBCD(HXFGF)"	"X清肌红蛋白测定(化X发光法)"	""	"5.95"	"检验"	"检验费"	
"204"	"XTXBZASCD（GZMYXFF）"	"X同型半胱氨酸测定（各种免疫X方法）"	""	"29.9"	"检验"	"检验费"	
"205"	"XWDB(Y)JJCWCD(FDP)（YQF）"	"纤维蛋白(原)降解产物测定(FDP)（仪器法）"	""	"16.48"	"检验"	"检验费"	
"206"	"YCBXBXTJC"	"异常白细胞形态检查"	""	"79.33"	"检验"	"检验费"	
"207"	"XXBFX（SGF）"	"X细胞分析（手工法）"	""	"39.67"	"检验"	"检验费"	
"208"	"BBASCD（PKU）"	"苯丙氨酸测定（PKU）"	""	"59.06"	"检验"	"检验费"	
"209"	"ABOXXJD(ZFDX)"	"ABOX型鉴定(正反定型)"	""	"36.94"	"检验"	"检验费"	
"210"	"ABO、RhDXXJD（KSF）"	"ABO、RhDX型鉴定（卡式法）"	""	"13.15"	"检验"	"检验费"	
"211"	"APKYCD(CEA)（HXFGF、YGMYF）"	"癌胚抗原测定(CEA)（化X发光法、荧光免疫法）"	""	"18.87"	"检验"	"检验费"	
"212"	"JTDBCD(AFP)（HXFGF、YGMYF）"	"甲胎蛋白测定(AFP)（化X发光法、荧光免疫法）"	""	"14.93"	"检验"	"检验费"	
"213"	"NSJDCD"	"尿酸碱度测定"	""	"0.86"	"检验"	"检验费"	
"214"	"NSTYJC"	"尿渗透压检查"	""	"1.41"	"检验"	"检验费"	
"215"	"NHXBWX(SGF)"	"尿红细胞位相(手工法)"	""	"19.74"	"检验"	"检验费"	
"216"	"NYFX(HJJ)"	"尿液分析(含镜检)"	""	"53.04"	"检验"	"检验费"	
"217"	"NYFXSYKWSSCSJTJS"	"尿液分析使用抗维生素C试剂条加收"	""	"59.03"	"检验"	"检验费"	
"218"	"XXBFX（WFLYQJCF）"	"X细胞分析（五分类仪器检测法）"	""	"13.33"	"检验"	"检验费"	
"219"	"JCD（GHXF）"	"钾测定（干化X法）"	""	"26.1"	"检验"	"检验费"	
"220"	"NCD（HYFGGDFD）"	"钠测定（火焰分光光度法等）"	""	"18.34"	"检验"	"检验费"	
